"APPID","三方门店ID","门店ID","预估峰值","预估消息量","餐厅名称"
"5339","7968147","7968147",100,200,"喜三德甜品•手工芋圆（民治店）"
"5339","8600359","8600359",100,200,"古御贡茶•手抓饼•小吃（福田店）"
"5339","10027746","10027746",100,200,"古御贡茶●手抓饼●小吃（王家湾店）"
"5339","9401067","9401067",100,200,"古御贡茶●手抓饼●小吃（虎门店）"
"5339","9155621","9155621",100,200,"古御贡茶•手抓饼•小吃（罗湖草埔店）"
"5339","10085676","10085676",100,200,"喜三德甜品•手工芋圆（大朗店）"
"5339","10452138","10452138",100,200,"古御贡茶•手抓饼•小吃（大石店）"
"5339","10480104","10480104",100,200,"喜三德甜品•手工芋圆（京山店）"
"5339","9257560","9257560",100,200,"喜三德甜品•手工芋圆（陈江店）"
"5339","10065090","10065090",100,200,"古御贡茶•手抓饼•小吃（龙归店）"
"5339","9236042","9236042",100,200,"喜三德甜品●手工芋圆（华强北店）"
"5339","9403595","9403595",100,200,"贡茶•手抓饼•小吃（天津旗舰店）"
"5339","9633953","9633953",100,200,"贡茶•手抓饼•小吃（东城店）"
"5339","10069038","10069038",100,200,"贡茶•手抓饼•小吃（湛江旗舰店）"
"5339","10038920","10038920",100,200,"喜三德甜品•手工芋圆（海珠店）"
"5339","9724838","9724838",100,200,"贡茶•手抓饼•小吃（闵行店）"
"5339","9300632","9300632",100,200,"贡茶•手抓饼•小吃（大石店）"
"5339","10497086","10497086",100,200,"喜三德甜品•手工芋圆(王家湾店)"
"5339","10554281","10554281",100,200,"喜三德甜品•手工芋圆(昭通旗舰店)"
"5339","9439607","9439607",100,200,"古御贡茶●手抓饼●小吃（白云新城店）"
"5339","10295736","10295736",100,200,"古御贡茶•手抓饼•小吃（武大店）"
"5339","7561212","7561212",100,200,"苏姐牛奶甜品世家（南头店）"
"5339","9411129","9411129",100,200,"喜三德甜品•手工芋圆（大浪店）"
"5339","9999888","9999888",100,200,"喜三德甜品•手工芋圆（寮步店）"
"5339","9481181","9481181",100,200,"古御贡茶●手抓饼●小吃（黄埔店）"
"5339","8591999","8591999",100,200,"古御贡茶•手抓饼•小吃（公明店）"
"5339","9206216","9206216",100,200,"苏姐牛奶甜品世家（武汉旗舰店）"
